Temperature_in_°C,Wind_Speed_in_Kmph,Rel_Humidity,Dew_Point_in_°C,Atmospheric_Pressure_in_mb,Thunder,Few_clouds,Rain,Clear,Cloudy
-1.9898531186632096,-0.0262032914443609,1.015938368428725,-1.2271312755381991,1.3161366084709103,0,0,0,1,0
-1.01143210951285,-0.3992369721238998,1.296602311322009,0.0239280357783196,0.1427117245902711,0,0,0,0,0
-0.8891294833690552,-1.1453043334829778,0.6550847275659311,-0.2540851445142401,0.5827460560455109,0,0,0,1,0
0.7008046565002792,-0.3992369721238998,0.1739465397488721,1.1359807569485587,0.1427117245902711,0,0,0,1,0
-1.25603736180044,0.3468303892351779,0.254136237718382,-0.9491180952456394,1.0227803875007506,0,1,0,0,0
-1.5006426140880298,-1.1453043334829778,-0.1067174031444124,-1.505144455830759,1.1694584979858305,0,0,0,1,0
1.4957717264349464,-0.5857538124636693,-0.7482349869004908,0.9969741668022788,-1.3974084355030678,0,1,0,0,0
0.4561994042126893,-0.5857538124636693,-0.8685195338547554,-0.2540851445142401,0.5827460560455109,0,1,0,0,0
0.2115941519250994,1.092897750594256,-0.9086143828395103,-0.5320983248067999,1.0227803875007506,0,1,0,0,0
-1.6229452402318247,-0.3992369721238998,1.296602311322009,-0.6711049149530797,1.6094928294410702,0,0,0,1,0
1.4957717264349464,-0.3992369721238998,-1.3095628726870596,0.0934313308514596,-0.5173397725925885,0,0,0,0,0
0.2115941519250994,-0.0262032914443609,1.296602311322009,1.4139939372411183,-1.7641037117157676,0,0,0,0,0
0.2115941519250994,-1.1453043334829778,1.096128066398235,1.2749873470948383,-0.4440007173500485,0,1,0,0,0
-1.25603736180044,-0.3992369721238998,0.8154641235049503,-0.5320983248067999,1.3161366084709103,1,0,0,0,0
-0.8891294833690552,1.092897750594256,-0.8685195338547554,-1.6441510459770388,1.75617093992615,0,0,0,1,0
-0.8891294833690552,-1.1453043334829778,-0.0666225541596574,-0.8101115050993596,1.0227803875007506,0,0,0,1,0
-1.5006426140880298,1.092897750594256,0.614989878581176,-0.9491180952456394,-0.0039663858948087,0,0,0,1,0
-1.4394913010161323,-1.1453043334829778,0.8154641235049503,-0.7406082100262197,0.289389835075351,0,0,0,1,0
-1.3783399879442348,-0.0262032914443609,1.537171405230539,-0.2540851445142401,1.0227803875007506,0,1,0,0,0
0.9454099087878692,1.8389651119533337,-0.2270019500986768,0.9969741668022788,-1.7641037117157676,0,0,0,1,0
0.3338967780688943,-0.3992369721238998,0.8956538214744603,1.2749873470948383,-0.7373569383202083,0,0,0,0,0
-1.3783399879442348,-0.3992369721238998,0.614989878581176,-0.8101115050993596,1.6094928294410702,0,0,0,1,0
-0.5222216049376703,-1.1453043334829778,0.8555589724897052,0.3019412160708794,0.8761022770156707,0,1,0,0,0
-0.1553137265062854,0.3468303892351779,-0.3071916480681866,-0.2540851445142401,0.8761022770156707,0,0,0,1,0
-0.1553137265062854,0.7198640699147169,-0.3071916480681866,-0.2540851445142401,0.7294241665305908,0,1,0,0,0
-2.3567609970945944,-0.5857538124636693,1.537171405230539,-1.3661378656844791,1.6094928294410702,0,0,0,1,0
-0.7668268572252602,0.7198640699147169,-0.0666225541596574,-0.6711049149530797,0.436067945560431,1,0,0,0,0
-1.25603736180044,-1.1453043334829778,1.296602311322009,-0.2540851445142401,0.8761022770156707,0,1,0,0,0
1.8015282917944335,1.8389651119533337,-2.071365003397403,-1.7831576361233186,-0.7373569383202083,0,0,0,1,0
-1.9898531186632096,-0.5857538124636693,1.015938368428725,-1.2271312755381991,1.1694584979858305,0,0,0,1,0
1.067712534931664,-0.3992369721238998,-0.5076658929919614,0.8579675766559989,-0.5906788278351284,0,1,0,0,0
0.0892915257813044,-0.0262032914443609,0.1338516907641172,0.4409478062171593,-0.4440007173500485,0,0,0,0,0
-1.7452478663756197,-0.5857538124636693,1.05603321741348,-0.9491180952456394,1.3161366084709103,0,0,0,1,0
-0.5222216049376703,-0.3992369721238998,-0.1869071011139223,-0.5320983248067999,0.8761022770156707,0,0,0,1,0
-0.5222216049376703,-1.1453043334829778,-0.0666225541596574,-0.3930917346605199,0.8761022770156707,0,0,0,1,0
1.556923039506844,1.8389651119533337,-0.9888040808090204,0.7189609865097191,-0.7373569383202083,0,0,0,1,0
0.3338967780688943,-0.0262032914443609,-0.9888040808090204,-0.5320983248067999,0.1427117245902711,0,1,0,0,0
-0.3999189787938753,-1.1453043334829778,-0.9487092318242653,-1.2271312755381991,0.436067945560431,0,0,0,1,0
2.046133544082024,0.3468303892351779,-1.550131966595589,0.1629346259245995,-2.0574599326859278,0,0,0,1,0
1.8015282917944335,0.3468303892351779,-2.031270154412648,-1.6441510459770388,-0.1506444963798886,0,0,0,1,0
-0.1553137265062854,-1.1453043334829778,-0.0265277051749025,0.0239280357783196,0.5827460560455109,0,1,0,0,0
-0.0330111003624905,-0.5857538124636693,1.096128066398235,0.9969741668022788,0.1427117245902711,0,1,0,0,0
0.7008046565002792,1.092897750594256,0.3343259356878915,1.2749873470948383,-1.177391269775448,0,0,0,0,0
-0.3999189787938753,0.7198640699147169,-0.0265277051749025,-0.2540851445142401,1.4628147189559904,0,0,0,1,0
0.2115941519250994,-0.3992369721238998,-0.6680452889309809,-0.2540851445142401,1.1694584979858305,0,0,0,0,0
-0.1553137265062854,-0.3992369721238998,-0.7081401379157358,-0.6711049149530797,0.5827460560455109,0,0,0,1,0
-0.9502807964409526,1.5591898514436795,0.9557960949515928,-0.1150785543679602,0.8761022770156707,0,0,0,0,0
