,timestamp,PM2.5_og,PM2.5_pred,Error_in_%,PM2.5_pred_scaled
1,2020-09-30,85.90292885341013,79.41325423959167,7.6,-0.9607565664973687
2,2020-10-31,245.5358372661598,210.24763651968055,14.4,0.10754585897578636
3,2020-11-30,340.5856239022733,342.820471041529,-0.7,1.1900432744360925
4,2020-12-31,343.73230885099906,339.064559272575,1.4,1.1593751153275265
5,2021-01-31,314.0114030450123,307.6458178175426,2.0,0.9028315591400549
6,2021-02-28,262.16621834605905,257.2288769845353,1.9,0.4911619411222613
7,2021-03-31,207.2725056357774,185.4007011525071,10.6,-0.09533690666834613
8,2021-04-30,177.79265552480487,159.5736457737598,10.2,-0.3062226495679342
9,2021-05-31,103.04006289582456,148.22848224335553,-43.9,-0.3988593518299892
10,2021-06-30,100.14818611357347,112.22757773305135,-12.1,-0.6928176595571656
11,2021-07-31,73.9428196653208,87.61624589418504,-18.5,-0.8937766509123521
12,2021-08-31,78.34995807501055,93.80624144590776,-19.7,-0.8432334592349776
13,2021-09-30,70.52139945652173,82.26862671253153,-16.7,-0.9374415839575294
14,2021-10-31,170.1858783309958,194.8299531052789,-14.5,-0.018344203710657578
15,2021-11-30,399.1181641123348,342.1869857139403,14.3,1.1848706745417017
